doc_name,query,qa
20231127_국소+적용+용해성+마이크로니들+일반의약품+개발+질의·응답집_민원인안내서_최종.txt,q2,"Q2.이 심사방안의 적용 대상은 어떻게 되나요 ?
{newline}○ 국내 기허가 (신고 포함 )된 바 있는 일반의약품 국소 적용 외용제와 동일한 
{newline}효능 ·
{newline}효과 ,동일한 유효성분 (주성분 )및 동일한 용법 (피부를 통한 유효성분 전달 )으로 
{newline}피부투과성을 개선하여 기허가 ·
{newline}신고 품목보다 유효성분의 투여 용량을 줄인 
{newline}품목에 적용됩니다 .
{newline}"
20231127_국소+적용+용해성+마이크로니들+일반의약품+개발+질의·응답집_민원인안내서_최종.txt,q3,"Q3.국소 적용 전문의약품에도 적용이 가능한가요 ?
{newline}○ 동 심사방안은 일반의약품에 한정하여 적용할 예정입니다 .전문의약품 또는 전신 
{newline}적용 의약품의 경우 ,동 심사방안과 별개로 품목별로 접근하여야 합니다 .
{newline}"
20231127_국소+적용+용해성+마이크로니들+일반의약품+개발+질의·응답집_민원인안내서_최종.txt,q4,"Q4.국소 적용 용해성 마이크로니들 일반의약품 개발 시 적용되는 규정 및 
{newline}제출자료의 범위는 어떻게 결정되나요 ?
{newline}○ 국소적 효과를 위해 생체 적합성이 높은 생분해성 소재를 사용한 미세한 니들을 
{newline}이용하여 ‘국소 적용 용해성 마이크로니들 의약품 ’을 개발하고자 하는 경우 ,
{newline}｢의약품의 품목허가 ‧신고‧심사 규정｣(식약처 고시 ) [별표 1]제2부 II.
{newline}자료제출의약품 중 3.유효성분의 함량만의 증감 (단일제 또는 복합제 → 단일제 ),7.
{newline}새로운 제형 (동일투여경로 )에 따른 자료 제출이 필요합니다 .
{newline}○ 다만 ,유효성분의 함량을 기준으로 피부약동학적 동일성을 입증하고 ,의료기기 
{newline}(의료용 누르개 )허가 시 제출된 자료를 인정하여 일부 자료를 면제할 수 
{newline}있습니다 .
{newline}"
붙임1_「복합제+임상시험+가이드라인」+(민원인안내서)+개정+(1).txt,q1,"Q1복합제를 개발하여 허가받고자 할 경우 제출자료는 무엇인가요 ?
{newline}v새로운 조성의 복합제를 허가받고자 할 경우 「의약품의 품목허가‧
{newline}신고‧
{newline}심사규
{newline}정」(식약처 고시 )제5조제 1항 및 별표 1의 Ⅱ.자료제출의약품 중 3.유효성분의 
{newline}새로운 조성 (단일제 →복합제 )에 따라 다음의 자료를 제출하도록 합니다 .
{newline} 1)기원 또는 발견 및 개발경위에 관한 자료
{newline} 2)품질에 관한 자료
{newline} 3)안정성에 관한 자료
{newline} 4)독성에 관한 자료 
{newline} 5)효력시험자료 
{newline} 6)임상시험성적에 관한 자료
{newline} 7)외국의 사용현황
{newline} 8)국내 유사제품과의 비교검토
{newline}"
붙임1_「복합제+임상시험+가이드라인」+(민원인안내서)+개정+(1).txt,q2,"Q2기허가 단일제로 복합제 개발시 독성시험을 어떻게 실시하나요 ?다수의 
{newline}병용처방 사례가 있을 경우 ,독성시험을 면제받을 수 있나요 ?
{newline}v일반적으로 복합제에 대한 독성에 관한 자료는 “「의약품등의 독성시험기준」
{newline}(식약처 고시 )[별표 12]복합제의 제제별 독성시험방법 ”에 적합한 자료를 
{newline}제출하여야 하나 ,①단일제의 효능효과 및 용법용량에서 개별 성분의 병용요법에 
{newline}대해 허가되었거나 신고된 경우 ,또는 ②임상문헌을 통해 사람에서의 병용 투여
{newline}경험이 충분하고 유의한 독성학적 우려가 없음이 입증된 경우에는 자료제출이 
{newline}면제가능합니다 .
{newline}"
붙임1_「복합제+임상시험+가이드라인」+(민원인안내서)+개정+(1).txt,q3,"Q3기허가 단일제로 복합제를 개발하고자 하는 경우 약리시험을 면제받을 수 있나요 ?
{newline}v「의약품의 품목허가‧
{newline}신고‧
{newline}심사규정」(식약처 고시 )제28조제 4항에 의거 ,개개 
{newline}주성분의 기허가 사항과 동일한 효능효과 범위 내에서 복합제를 개발하는 경우 
{newline}동 자료 제출이 면제될 수 있습니다 .
{newline}"
붙임1_「복합제+임상시험+가이드라인」+(민원인안내서)+개정+(1).txt,q8,"Q8기허가 단일제로 복합제 개발시 ,주성분 간에 임상적으로 유의한 약물상호
{newline}작용이 존재한다면 허가에 필요한 시험이 무엇인지요 ?
{newline}v복합제 성분 간에 임상적으로 유의한 약물상호작용이 존재한다면 ,배합에 대한 
{newline}타당성을 우선적으로 다시 검증하고 ,타당한 경우 치료적 탐색임상시험 등을 
{newline}통하여 용법·용량을 새로 설정해야 합니다 .
{newline}v또한 ,용량 -반응 시험을 통하여 선정된 복합제 용량을 근거로 치료적 확증시험을 
{newline}수행해야 합니다 .경우에 따라서는 용량 -반응 시험과 치료적 확증시험을 동시에 
{newline}수행하는 디자인으로 임상시험이 진행될 수 있습니다 .
{newline}"
붙임1_「복합제+임상시험+가이드라인」+(민원인안내서)+개정+(1).txt,q9,"Q9단일제 허가사항에 “건강한 젊은 피험자를 대상으로 한 단회 투여 약동학
{newline}연구에서 A와 B와의 약물상호작용은 나타나지 않았다 .”라는 것으로 약물
{newline}상호작용을 진행하지 않아도 되는지요 ?
{newline}v복합제의 개별 성분 간에 약물상호작용이 근거 문헌이나 개개 단일제 허가
{newline}사항에서 구체적인 투여용량 ,시험결과 등을 통해 약물상호작용시험을 적절히 
{newline}평가할 수 있고 ,그 결과가 타당한 경우에는 별도의 약물상호작용시험을 반드시 
{newline}수행할 필요는 없습니다 .
{newline}"
붙임1_「복합제+임상시험+가이드라인」+(민원인안내서)+개정+(1).txt,q10,"Q10국소적용 목적으로 사용되는 의약품의 경우에도 반드시 약물상호작용시험을 
{newline}실시해야 하나요 ?
{newline}v국소적용 목적으로 사용되는 의약품은 전신적인 효과를 나타내지 않는 의약품으로서 
{newline}약동학적 파라미터가 치료효과 또는 안전성에 연관성이 없음이 입증된 경우 
{newline}약동학적 약물상호작용 시험은 면제가 가능합니다 .
{newline}"
붙임1_「복합제+임상시험+가이드라인」+(민원인안내서)+개정+(1).txt,q11,"Q11약동학적 약물상호작용 시험자료를 문헌으로 갈음할 수 있나요 ?
{newline}v외국에서 수행된 임상시험성적에 관한 자료는「의약품의 품목허가‧
{newline}신고‧
{newline}심사 
{newline}규정 (식약처 고시 )」제7조제 6호에 따라 SCI에 등재된 전문학회지에 게재된 
{newline}자료로 갈음할 수 있습니다 .
{newline}ü다만 ,임상시험방법 (시험디자인 ),임상시험에 참여한 시험대상자의 인구학적 
{newline}정보 ,임상시험용의약품 ,임상시험 결과 (약동학적 파라미터 ,안전성 평가 결과 )
{newline}등이 해당 문헌에 구체적으로 기술되어 있고 그 타당성이 입증되어야 
{newline}합니다 .
{newline}ü참고로 ,주성분의 약물대사효소 등 인종적 영향을 미칠 수있는 인자가 알려져 
{newline}있는 경우에는 해당 문헌 결과의 국내 적용에 대한 타당성을 제시할 필요가 
{newline}있습니다 .
{newline}"
